Date,ADM,BF.B,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
<<<<<<< HEAD
=======
2008-02-19,35.824852,,12.426262,9.720108,25.985973,41.765327,48.556644,,24.475187,34.548229,,17.765186,19.409813,8.425557000000001,28.504935999999997,38.117828,,42.511726,18.488962,9.914822000000001,15.904316,28.146304999999998,6.885,13.199925,52.784592,48.657616,,34.879562,19.986964999999998,21.440659,41.931927,12.638463,28.996887,38.701885
2008-02-20,35.809048,,12.398226,9.754502,26.367497999999998,41.323147,49.89365,,24.227210999999997,34.927601,,17.527544,19.433882,8.36001,28.5434,37.706142,,42.677776,18.530329000000002,9.896009,15.955328,28.449814,7.113333,13.201738,52.769749,48.55489,,35.518658,20.132504,21.577820000000003,41.638264,13.234366,29.471709999999998,38.733067
2008-02-21,35.872242,,12.224391,9.629584,26.072674,41.455791,50.210503,,24.617966,34.694798,,17.477514000000003,19.313536,8.417368,28.401869,37.49295,,42.598076,18.453959,9.523495,15.730891,28.106363,6.968333,13.283183,52.740074,48.400791,,35.681961,19.841433,21.346807000000002,40.971542,12.762983,29.831919,38.803196
2008-02-22,35.208813,,12.409439,9.673035,26.423004,42.627604999999996,51.02195,,24.550329,34.625828000000006,,17.719328,19.564545000000003,8.376397,28.572490999999996,37.522346,,43.195812,18.539875,9.685296000000001,16.001238,28.44182,7.303333,13.321192000000002,52.962658,48.584236,,35.859486,19.453332999999997,21.621132,41.995426,12.958652,30.626015000000002,38.943481
2008-02-25,35.406265000000005,,12.622521,9.768989,26.752506,42.620235,50.720551,,24.768259,34.712036,,17.948636999999998,19.794907000000002,8.644751,29.402366999999998,37.669384,,43.501301,18.702175,9.70787,16.082851,28.625519,7.295,13.440648000000001,53.118477,48.929115,,36.768409999999996,20.190720000000002,21.570601999999997,41.971615,12.949755,30.593265999999996,39.224037
2008-02-26,36.267128,,12.768322,9.830541,26.700476000000002,44.027896999999996,51.362010999999995,,24.978672,34.565475,,18.144588,19.880873,8.470628,29.154182000000002,38.007549,,43.800182,18.940842,9.76055,16.261377,28.465782,7.331666,13.442464000000001,52.925564,49.662907000000004,,36.796814000000005,19.792919,21.657228,42.074799,12.736299,30.904359999999997,40.057926
2008-02-27,35.722179,,12.544016000000001,9.835974,26.873903000000002,43.917351000000004,49.839535,,24.663054000000002,34.901722,,18.032026000000002,19.715834,8.544377,28.913748,38.007549,,43.972851,19.109497,9.579939,16.342991,28.353959999999997,7.316667,13.478658,52.829102,49.318034999999995,,36.818092,19.60857,21.433445000000003,42.512669,13.217922,30.626015000000002,40.081303000000005
2008-02-28,36.701510999999996,,12.521591,9.817867999999999,26.783721999999997,43.239311,48.765308000000005,,24.700623,35.289726,,17.865254999999998,19.537036999999998,8.587396,28.719849,37.860523,,43.674004,18.921751,9.470819,16.133858,28.106363,7.358333,13.353769,52.725196999999994,49.141918,,36.81102,19.336907999999998,20.949762,43.189358,13.262518,30.404968,39.51239
2008-02-29,35.619499,,12.392615,9.678467,26.391779,42.885544,47.853371,,24.264778,34.815502,,17.752682,19.251644,8.370254,28.758633000000003,37.512909,,43.288784,18.603523000000003,9.124646,15.899220000000001,27.515328999999998,6.9166669999999995,13.237941000000001,51.612255,48.562225,,36.349441999999996,18.638329000000002,20.256735,42.958492,12.852242,29.889217,38.647331
2008-03-03,36.124973,,12.437477000000001,9.596999,26.651916999999997,42.907658000000005,48.309340999999996,,24.069399,34.565475,,18.107075,19.44076,8.450145,28.727612,37.505512,,43.534519,18.781731,9.342887,15.914522,27.994558,6.758333,13.216215,52.064869,48.686974,,37.109241,18.424875,20.386673000000002,42.042972999999996,13.342792000000001,29.840096999999997,38.881134
